Sample	Glyco_Genes_Sum	Corr	type
IALM_LUNG_TenPx34	0.011724608	0.428571428571429	LUNG
IGR1_SKIN_TenPx30	0.009425909	0.761904761904762	SKIN
IGR37_SKIN_TenPx01	0.016173094	0.404761904761905	SKIN
IGR39_SKIN_TenPx07	0.014642455	0.5	SKIN
IGROV1_OVARY_TenPx19	0.008381782	0.761904761904762	OVARY
IPC298_SKIN_TenPx08	0.021848243	0.476190476190476	SKIN
JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx39	0.023221745	0.333333333333333	HAEMATOPOIETIC
JHOS2_OVARY_TenPx33	0.013582445	0.642857142857143	OVARY
JIMT1_BREAST_TenPx03	0.01568802	0.547619047619048	BREAST
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx38	0.021200275	0.547619047619048	HAEMATOPOIETIC
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx39	0.023598423	0.404761904761905	HAEMATOPOIETIC
K029AX_SKIN_TenPx33	0.019758676	0.19047619047619	SKIN
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx25	0.01262134	0.380952380952381	HAEMATOPOIETIC
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx27	0.020664918	0.19047619047619	HAEMATOPOIETIC
KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx28	0.023612971	0.285714285714286	HAEMATOPOIETIC
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx28	0.01094334	0.547619047619048	HAEMATOPOIETIC
KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx38	0.01643191	0.404761904761905	HAEMATOPOIETIC
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx32	0.015352792	0.214285714285714	HAEMATOPOIETIC
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx27	0.015128471	0.547619047619048	HAEMATOPOIETIC
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx31	0.021388911	0.261904761904762	HAEMATOPOIETIC
KP2_PANCREAS_TenPx36	0.008393349	0.547619047619048	PANCREAS
KP4_PANCREAS_TenPx24	0.013120299	0.452380952380952	PANCREAS
KPL1_BREAST_TenPx03	0.016965172	0.547619047619048	BREAST
KURAMOCHI_OVARY_TenPx15	0.004971773	0.642857142857143	OVARY
L33_PANCREAS_TenPx17	0.006302579	0.428571428571429	PANCREAS
L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx41	0.021718336	0.523809523809524	HAEMATOPOIETIC
LCLC103H_LUNG_TenPx19	0.009875291	0.857142857142857	LUNG
LK2_LUNG_TenPx11	0.012172647	0.476190476190476	LUNG
LOXIMVI_SKIN_TenPx19	0.013118557	0.738095238095238	SKIN
LS180_LARGE_INTESTINE_TenPx27	0.008086569	0.523809523809524	LARGE_INTESTINE
LS411N_LARGE_INTESTINE_TenPx09	0.013958539	0.476190476190476	LARGE_INTESTINE
LS513_LARGE_INTESTINE_TenPx09	0.010236057	0.547619047619048	LARGE_INTESTINE
LU65_LUNG_TenPx22	0.01708982	0.30952380952381	LUNG
LUDLU1_LUNG_TenPx09	0.008220803	0.690476190476191	LUNG
LXF289_LUNG_TenPx31	0.015566531	0.547619047619048	LUNG
MCF7_BREAST_TenPx08	0.017572522	0.547619047619048	BREAST
MDAMB157_BREAST_TenPx07	0.016106456	0.428571428571429	BREAST
MDAMB231_BREAST_TenPx27	0.014857563	0.761904761904762	BREAST
MDAMB436_BREAST_TenPx12	0.015678932	0.761904761904762	BREAST
MDAMB453_BREAST_TenPx19	0.016551608	0.428571428571429	BREAST
MDAMB468_BREAST_TenPx01	0.012610086	0.476190476190476	BREAST
MDST8_LARGE_INTESTINE_TenPx03	0.018013664	0.595238095238095	LARGE_INTESTINE
MELJUSO_SKIN_TenPx09	0.015743903	0.5	SKIN
MEWO_SKIN_TenPx05	0.018572518	0.5	SKIN
MIAPACA2_PANCREAS_TenPx10	0.008386928	0.785714285714286	PANCREAS
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx27	0.0106741	0.261904761904762	HAEMATOPOIETIC
MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx37	0.023202371	0.380952380952381	HAEMATOPOIETIC
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx23	0.012891142	0.428571428571429	HAEMATOPOIETIC
MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx24	0.017222359	0.380952380952381	HAEMATOPOIETIC
NCIH1048_LUNG_TenPx07	0.012402509	0.476190476190476	LUNG
NCIH1155_LUNG_TenPx26	0.012233046	0.476190476190476	LUNG
NCIH1299_LUNG_TenPx06	0.011773807	0.476190476190476	LUNG
NCIH1355_LUNG_TenPx18	0.010390253	0.476190476190476	LUNG
NCIH1435_LUNG_TenPx15	0.012525791	0.738095238095238	LUNG
NCIH1437_LUNG_TenPx18	0.008444083	0.880952380952381	LUNG
NCIH146_LUNG_TenPx20	0.017192624	0.547619047619048	LUNG
NCIH1568_LUNG_TenPx15	0.009624925	0.476190476190476	LUNG
NCIH1573_LUNG_TenPx12	0.007464606	0.714285714285714	LUNG
NCIH1581_LUNG_TenPx14	0.010846745	0.690476190476191	LUNG
NCIH1650_LUNG_TenPx11	0.015522435	0.5	LUNG
NCIH1666_LUNG_TenPx16	0.005546893	0.785714285714286	LUNG
NCIH1693_LUNG_TenPx08	0.007258621	0.785714285714286	LUNG
NCIH1703_LUNG_TenPx19	0.016278934	0.547619047619048	LUNG
NCIH1792_LUNG_TenPx14	0.010936713	0.738095238095238	LUNG
NCIH1793_LUNG_TenPx17	0.015188124	0.476190476190476	LUNG
NCIH1944_LUNG_TenPx15	0.013221378	0.476190476190476	LUNG
NCIH196_LUNG_TenPx19	0.008700853	0.476190476190476	LUNG
NCIH1975_LUNG_TenPx13	0.012462834	0.785714285714286	LUNG
NCIH2009_LUNG_TenPx19	0.005679557	0.761904761904762	LUNG
NCIH2030_LUNG_TenPx18	0.011842432	0.547619047619048	LUNG
NCIH2066_LUNG_TenPx14	0.01179384	-0.047619048	LUNG
NCIH2110_LUNG_TenPx10	0.010182881	0.761904761904762	LUNG
NCIH2122_LUNG_TenPx18	0.014910726	0.761904761904762	LUNG
NCIH2126_LUNG_TenPx17	0.012453303	0.476190476190476	LUNG
NCIH2170_LUNG_TenPx12	0.015420901	0.476190476190476	LUNG
NCIH2172_LUNG_TenPx21	0.00644303	0.380952380952381	LUNG
NCIH2228_LUNG_TenPx17	0.014076836	0.380952380952381	LUNG
NCIH226_LUNG_TenPx34	0.00710482	0.690476190476191	LUNG
NCIH2286_LUNG_TenPx19	0.013700939	0.19047619047619	LUNG
NCIH2291_LUNG_TenPx16	0.018204437	0.476190476190476	LUNG
NCIH23_LUNG_TenPx20	0.012672066	0.476190476190476	LUNG
NCIH292_LUNG_TenPx36	0.005641748	0.690476190476191	LUNG
NCIH3255_LUNG_TenPx13	0.008678503	0.619047619047619	LUNG
NCIH358_LUNG_TenPx06	0.012482607	0.642857142857143	LUNG
NCIH441_LUNG_TenPx15	0.013021661	0.785714285714286	LUNG
NCIH446_LUNG_TenPx38	0.013724088	0.404761904761905	LUNG
NCIH460_LUNG_TenPx22	0.009196262	0.690476190476191	LUNG
NCIH520_LUNG_TenPx10	0.009620129	0.761904761904762	LUNG
NCIH522_LUNG_TenPx22	0.007605653	0.547619047619048	LUNG
NCIH647_LUNG_TenPx35	0.012308623	0.404761904761905	LUNG
NCIH650_LUNG_TenPx30	0.022043836	0.690476190476191	LUNG
NCIH661_LUNG_TenPx17	0.010271776	0.428571428571429	LUNG
NCIH716_LARGE_INTESTINE_TenPx36	0.020454744	0.714285714285714	LARGE_INTESTINE
NCIH747_LARGE_INTESTINE_TenPx16	0.009145317	0.357142857142857	LARGE_INTESTINE
NCIH838_LUNG_TenPx16	0.010915255	0.476190476190476	LUNG
NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx42	0.014888677	0.261904761904762	HAEMATOPOIETIC
NIHOVCAR3_OVARY_TenPx33	0.006493771	0.571428571428572	OVARY
NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx36	0.017314518	0.619047619047619	HAEMATOPOIETIC
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx29	0.022615425	0.19047619047619	HAEMATOPOIETIC
