HEX1	glc_D	0.5
PGI	g6p	5.306699423
PFK	f6p	2.367268855
FBA	fdp	3.999521316
GAPD	g3p	0.117754201
PGK	13dpg	0.002241538
PGM	3pg	0.577523285
ENO	2pg	0.023839487
PYK	pep	0.029083636
